id,sentence
1,Artificial intelligence is transforming modern industries.
2,AI is changing many industries around the world.
3,The weather is sunny today.
4,Machine learning is a branch of artificial intelligence.
5,I enjoy reading books during weekends.
6,Deep learning is widely used in computer vision.
7,Today's weather is bright and clear.
8,Natural language processing enables computers to understand human language.
9,I like to read novels on weekends.
10,Semantic search retrieves documents based on meaning rather than keywords.
