id,1,2,3,4,5,6,7,8,9,10
1,1.0000001,0.81838685,0.0407654,0.5238797,0.058588825,0.32781735,0.090767354,0.3121684,0.07544055,0.1414279
2,0.81838685,1.0,0.027800713,0.48096913,0.055707872,0.31763035,0.10075851,0.25377667,0.07918791,0.07695563
3,0.0407654,0.027800713,1.0000001,-0.054818675,0.11683415,-0.060898066,0.7408767,0.0059902295,0.11868907,-0.014341971
4,0.5238797,0.48096913,-0.054818675,0.9999999,0.032038618,0.48515862,-0.026007414,0.41600055,0.018277168,0.20171662
5,0.058588825,0.055707872,0.11683415,0.032038618,0.9999999,0.04874719,0.14051463,0.07497103,0.9049473,0.10494112
6,0.32781735,0.31763035,-0.060898066,0.48515862,0.04874719,1.0000001,0.0564437,0.3480576,0.04002971,0.058597952
7,0.090767354,0.10075851,0.7408767,-0.026007414,0.14051463,0.0564437,0.99999994,0.017765293,0.1479277,0.008097142
8,0.3121684,0.25377667,0.0059902295,0.41600055,0.07497103,0.3480576,0.017765293,1.0,0.022724416,0.37303942
9,0.07544055,0.07918791,0.11868907,0.018277168,0.9049473,0.04002971,0.1479277,0.022724416,0.9999999,0.06081668
10,0.1414279,0.07695563,-0.014341971,0.20171662,0.10494112,0.058597952,0.008097142,0.37303942,0.06081668,1.0
